Name,Dia (in),Width,Height + .2
7.4 mm,0.2913,1.51476,4.491338583
M,0.2950,1.534,4.575
7.5 mm,0.2953,1.53556,4.491338583
19/64 in,0.2969,1.54388,4.575
7.6 mm,0.2992,1.55584,4.806299213
N,0.3020,1.5704,4.575
7.7 mm,0.3031,1.57612,4.806299213
7.75 mm,0.3051,1.58652,4.806299213
7.8 mm,0.3071,1.59692,4.806299213
7.9 mm,0.3110,1.6172,4.806299213
5/16 in,0.3125,1.625,4.7
8 mm,0.3150,1.638,4.806299213
O,0.3160,1.6432,4.7
8.1 mm,0.3189,1.65828,4.806299213
8.2 mm,0.3228,1.67856,4.806299213
P,0.3230,1.6796,4.825
8.25 mm,0.3248,1.68896,4.806299213
8.3 mm,0.3268,1.69936,4.806299213
21/64 in,0.3281,1.70612,4.825
8.4 mm,0.3307,1.71964,4.806299213
Q,0.3320,1.7264,4.95
8.5 mm,0.3346,1.73992,4.806299213
8.6 mm,0.3386,1.76072,5.121259843
R,0.3390,1.7628,4.95
8.7 mm,0.3425,1.781,5.121259843
11/32 in,0.3438,1.78776,4.95
8.75 mm,0.3445,1.7914,5.121259843
8.8 mm,0.3465,1.8018,5.121259843
S,0.3480,1.8096,5.075
8.9 mm,0.3504,1.82208,5.121259843
9 mm,0.3543,1.84236,5.121259843
T,0.3580,1.8616,5.075
9.1 mm,0.3583,1.86316,5.121259843
23/64 in,0.3594,1.86888,5.075
9.2 mm,0.3622,1.88344,5.121259843
9.25 mm,0.3642,1.89384,5.121259843
9.3 mm,0.3661,1.90372,5.121259843
U,0.3680,1.9136,5.2
9.4 mm,0.3701,1.92452,5.121259843
9.5 mm,0.3740,1.9448,5.121259843
3/8 in,0.3750,1.95,5.2
V,0.3770,1.9604,5.2
9.6 mm,0.3780,1.9656,5.436220472
9.7 mm,0.3819,1.98588,5.436220472
9.75 mm,0.3839,1.99628,5.436220472
9.8 mm,0.3858,2.00616,5.436220472
W,0.3860,2.0072,5.325
9.9 mm,0.3898,2.02696,5.436220472
25/64 in,0.3906,2.03112,5.325
10 mm,0.3937,2.04724,5.436220472
X,0.3970,2.0644,5.325
10.2 mm,0.4016,2.08832,5.436220472
10.25 mm,0.4035,2.0982,5.436220472
Y,0.4040,2.1008,5.45
13/32 in,0.4062,2.11224,5.45
Z,0.4130,2.1476,5.45
10.5 mm,0.4134,2.14968,5.436220472
10.7 mm,0.4213,2.19076,5.790551181
27/64 in,0.4219,2.19388,5.575
10.75 mm,0.4232,2.20064,5.790551181
10.8 mm,0.4252,2.21104,5.790551181
11 mm,0.4331,2.25212,5.790551181
7/16 in,0.4375,2.275,5.7
11.5 mm,0.4528,2.35456,5.790551181
29/64 in,0.4531,2.35612,5.825
11.7 mm,0.4606,2.39512,5.790551181
15/32 in,0.4688,2.43776,5.95
12 mm,0.4724,2.45648,6.14488189
31/64 in,0.4844,2.51888,6.075
12.5 mm,0.4921,2.55892,6.14488189
1/2 in,0.5000,2.6,6.2
12.8 mm,0.5039,2.62028,6.14488189
13 mm,0.5118,2.66136,6.14488189
33/64 in,0.5156,2.68112,6.825
17/32 in,0.5312,2.76224,6.825
13.5 mm,0.5315,2.7638,6.499212598
35/64 in,0.5469,2.84388,6.825
14 mm,0.5512,2.86624,6.499212598
9/16 in,0.5625,2.925,6.825
14.5 mm,0.5709,2.96868,6.853543307
37/64 in,0.5781,3.00612,6.825
15 mm,0.5906,3.07112,6.853543307
19/32 in,0.5938,3.08776,7.325
39/64 in,0.6094,3.16888,7.325
15.5 mm,0.6102,3.17304,7.207874016
5/8 in,0.6250,3.25,7.325
16 mm,0.6299,3.27548,7.207874016
